Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:53.3,Foul: Offensive,OG Anunoby,Brandon Ingram,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2410,Anunoby (TOR) firms up in a legal screening position in Ingram's (NOP) path.,21900001
Q4,1:44,Foul: Offensive,Serge Ibaka,Nicolo Melli,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2411,Ibaka (TOR) makes marginal contact with Melli (NOP) off ball.,21900001
Q4,01:41.4,Foul: Shooting,JJ Redick,Kyle Lowry,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2412,Redick (NOP) contests Lowry's (TOR) jump shot attempt and gives him room to land safely.,21900001
Q4,01:34.5,Foul: Personal,Fred VanVleet,Brandon Ingram,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2413,VanVleet (TOR) maintains a legal guarding position on Ingram (NOP) and absorbs the contact at the end of the drive.,21900001
Q4,01:09.6,Foul: Personal,Fred VanVleet,Brandon Ingram,INC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2414,VanVleet (TOR) is late to establish himself in a legal guarding position when he delivers contact by turning his body into Ingram (NOP) and affecting his SQBR.,21900001
Q4,01:09.6,Foul: Personal,Marc Gasol,Brandon Ingram,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2414,Gasol (TOR) places a forearm to Ingram (NOP) and does not affect his SQBR.,21900001
Q4,00:50.1,Foul: Offensive,Pascal Siakam,JJ Redick,CC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2415,Siakam (TOR) dislodges Redick (NOP) from his legal guarding position.,21900001
Q4,00:46.0,Foul: Personal,Norman Powell,JJ Redick,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2416,Powell (TOR) rests his hand on Redick's (NOP) back but doesn't affect his SQBR.,21900001
Q4,00:43.3,Foul: Offensive,Brandon Ingram,OG Anunoby,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2417,Ingram (NOP) establishes himself in a screening position in Anunoby's (TOR) path and absorbs the contact.,21900001
Q4,00:34.7,Foul: Personal,Fred VanVleet,Josh Hart,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0021900001&eventNum=2418,VanVleet (TOR) cleanly dislodges the ball from Hart (NOP) during his drive.,21900001
